index,level6,level6_4,level5_0,level5,level5_2,level5_3,level5_4,level4_0,level4,level4_2,level4_3,level4_4,level3_0,level3,level3_2,level3_3,level3_4,level2_0,level2,level2_2,level2_3,level2_4,cluster
1,"UAV ""ZALA""",ZALA_421-16Е2_reconnaissance.jpg,"LTD ""CST""",CST,1841015504,ZAHAROV ALEKSANDR VYACHESLAVOVICH,ZAHAROV_ALEKSANDR_V.jpg,"JSC ""KALASHNIKOV CONCERN"" ",KALASHNIKOV ,1832090230,LEPIN VLADIMIR NIKOLAEVICH,LEPIN_Vladimir.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
2,120-mm mortar,120mm_2B11_2S12.png,"JSC ""CENTRAL RESEARCH INSTITUTE ""BUREVESTNIK""",BUREVESTNIK,5259075468,"ZAKAMENNYH GEORGIJ IVANOVICH
",ZAKAMENNYH_GEORGIJ.jpg ,"JSC ""KONCERN ""URALVAGONZAVOD""",URALVAGONZAVOD,7706453206,POTAPOV ALEKSANDR VALERIEVICH,POTAPOV_Aleksandr.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
3,"AFV ""Vityaz"" ",Vityaz_DT-30.jpg,"JSC ""MACHINE BUILDING COMPANY ""VITYAZ""",VITYAZ,0261013879,ARSLANOV IREK NAILOVICH,ARSLANOV_IREK.jpg,"JSC ""KONCERN ""URALVAGONZAVOD""",URALVAGONZAVOD,7706453206,POTAPOV ALEKSANDR VALERIEVICH,POTAPOV_Aleksandr.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
4,"Tanks T-80UK, T-80UE-1, Т-80UM2, T-80BVM 
",T-80U.jpg,"JSC ""OMSKIJ ZAVOD TRANSPORTNOGO MASHINOSTROENIYA""",OMSKTRANSMASH,5505204171,"LOBOV IGOR EDUARDOVICH
",LOBOV_IGOR.jpg,"JSC ""KONCERN ""URALVAGONZAVOD""",URALVAGONZAVOD,7706453206,POTAPOV ALEKSANDR VALERIEVICH,POTAPOV_Aleksandr.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
5,"SPA ""Msta-SM2"" 

","Msta-SM2.jpg

","JSC ""URALSKIJ ZAVOD TRANSPORTNOGO MASHINOSTROENIYA""",URALTRANSMASH,6659190900,"SEMIZOROV DMITRIJ YUREVICH
",SEMIZOROV_DMITRIJ.jpg,"JSC ""KONCERN ""URALVAGONZAVOD""",URALVAGONZAVOD,7706453206,POTAPOV ALEKSANDR VALERIEVICH,POTAPOV_Aleksandr.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
6,"Repairing ""Akatsiya"" ","

152mm_2S3(M)_Akatsiya.jpg","JSC ""URALSKIJ ZAVOD TRANSPORTNOGO MASHINOSTROENIYA""",URALTRANSMASH,6659190900,"SEMIZOROV DMITRIJ YUREVICH
",SEMIZOROV_DMITRIJ.jpg,"JSC ""KONCERN ""URALVAGONZAVOD""",URALVAGONZAVOD,7706453206,POTAPOV ALEKSANDR VALERIEVICH,POTAPOV_Aleksandr.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
7,Mi-8 helicopter,Mi-8.jpg,"JSC ""KAZANSKIJ VERTOLETNYJ ZAVOD""",KAZANSKIJ VERTOLETNYJ ZAVOD,1656002652,GINSBURG VLADIMIR SRULEVICH,GINSBURG_Vladimir.jpg,"JSC ""VERTOLETY ROSSII""",VERTOLETY ROSSII,7731559044,KOLESOV NYKOLAI ALEKSANDROVYCH,KOLESOV_Nykolai.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
11,Mi-8 helicopter ,Mi-8.jpg,"JSC ""ULAN-UDENSKIJ AVIACIONNYJ ZAVOD""
",ULAN-UDENSKIJ AVIACIONNYJ ZAVOD,0323018510,KOZLOV ALEKSEJ VLADIMIROVICH,KOZLOV_ALEKSEJ.jpg,"JSC ""VERTOLETY ROSSII""",VERTOLETY ROSSII,7731559044,KOLESOV NYKOLAI ALEKSANDROVYCH,KOLESOV_Nykolai.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
8,Mi-28 helicopter,Mi-28_attack_helicopter.jpg,"JSC ""NATIONAL HELICOPTER BUILDING CENTER NAMED AFTER M.L. MIL AND N.I. KAMOV""",NATIONAL HELICOPTER CENTER MIL AND KAMOV,7718016666,KOROTKEVICH MIHAIL ZAHAROVICH,KOROTKEVICH_Mikhail.jpg,"JSC ""VERTOLETY ROSSII""",VERTOLETY ROSSII,7731559044,KOLESOV NYKOLAI ALEKSANDROVYCH,KOLESOV_Nykolai.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
9,"Ka-52 ""Alligator"" helicopter",KA_52.jpg,"JSC ""ARSENIEV AVIATION COMPANY ""PROGRESS"" NAMED AFTER N.I. SAZYKIN""",PROGRESS,2501002394,PALCEV DENIS EVGENEVICH,PALCEV_DENIS.jpg ,"JSC ""VERTOLETY ROSSII""",VERTOLETY ROSSII,7731559044,KOLESOV NYKOLAI ALEKSANDROVYCH,KOLESOV_Nykolai.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
