index,selector,name,short_name,id_number,director,img
1,g297,БПЛА «ZALA»,БПЛА «ZALA»,,,ZALA_421-16Е2_reconnaissance.jpg
2,g531,120-мм міномет,120-мм міномет,,,120mm_2B11_2S12.png
3,g541,ДТ-30 «Вітязь» ,ДТ-30 «Вітязь» ,,,Vityaz_DT-30.jpg
4,g557,"Танки Т-80УК, Т-80УЕ-1, Т-80УМ2, T-80БВМ 
","Танки Т-80УК, Т-80УЕ-1, Т-80УМ2, T-80БВМ 
",,,T-80U.jpg
5,g513,"САУ «МСТА-СМ2»
","САУ «МСТА-СМ2»
",,,"Msta-SM2.jpg

"
6,g517,Ремонт САУ «Акація»,Ремонт САУ «Акація»,,,"

152mm_2S3(M)_Akatsiya.jpg"
7,g463,Вертольоти Мі-28,Вертольоти Мі-28,,,Mi-28_attack_helicopter.jpg
8,g457,Вертольоти Ка-52,Вертольоти Ка-52,,,KA_52.jpg
9,g439,Вертольоти Мі-35,Вертольоти Мі-35,,,Mi-35M_attack_helicopter.jpg
10,g449,Вертольоти  Мі-8,Вертольоти  Мі-8,,,Mi-8.jpg
,g473,Вертольоти  Мі-8,Вертольоти  Мі-8,,,Mi-8.jpg
11,g311,Радар 1РЛ257 «Красуха-4»,Радар 1РЛ257 «Красуха-4»,,,1RL257_Krasukha-4_(command post).jpg
12,g247,Шасі до ЗРК «Бук-М2»,Шасі до ЗРК «Бук-М2»,,,"Buk_M2.jpg

"
13,g251,Шасі до ЗРК «Бук-М3»,Шасі до ЗРК «Бук-М3»,,,"
Buk_M3.jpg"
,g213,ЗРК  «БУК-М3»,ЗРК  «БУК-М3»,,,"
Buk_M3.jpg"
,g217,"ЗРК  «БУК-М2»

","ЗРК  «БУК-М2»

",,,"Buk_M2.jpg

"
14,g199,ЗРК «Тор» ,ЗРК «Тор» ,,,9K332_Tor-M2.jpg
15,g203,Ракети «Калібр»,Ракети «Калібр»,,,kalibr.jpg
16,g231,Радари «СНАР-10м1»,Радари «СНАР-10м1»,,,"SNAR-10M1.jpg
"
17,g227,Радари «Зоопарк-1М»,Радари «Зоопарк-1М»,,,"
Zoopark-1M.jpg"
18,g237,ЗРК  «БУК-М3»,ЗРК  «БУК-М3»,,,"Buk_M3.jpg
"
19,g241,"ЗРК  «БУК-М2»

","ЗРК  «БУК-М2»

",,,Buk_M2.jpg
20,g221,ЗРПК «Тунгуска-М1»,ЗРПК «Тунгуска-М1»,,,"
2K22M1_Tunguska.jpg"
21,g71,Точка-У,Точка-У,,,Tochka.jpg
22,g339,ТОС-1А (Сонцепьок),ТОС-1А (Сонцепьок),,,220mm_TOS-1A.jpg
23,g505,Ракети «Іскандер»,Ракети «Іскандер»,,,iskander.jpg
24,g367,"ПТРК «Корнет»
","ПТРК «Корнет»
",,,"
Kornet.jpg"
25,g363,ЗРК «Панцир-С1»,ЗРК «Панцир-С1»,,,"Pantsir_S1.jpg
"
26,g487,ЗРК «Стрела-10»,ЗРК «Стрела-10»,,,9K35_Strela-10.jpg
27,g375,БМП-3,БМП-4,,,"
BMP-3.jpg"
28,g379,БТР-МДМ «Ракушка»,БТР-МДМ «Ракушка»,,,BTR-MDM__Rakushka_.jpg
29,g163,Вантажівки та джипи,Вантажівки та джипи,,,"Ural.jpg

"
30,g353,"КШМ Р-149МА1

","КШМ Р-149МА1

",,,R-149MA1_command_and_staff_vehicle.png
31,g357,Комплекс РЕБ «Борисоглебск-2В» ,Комплекс РЕБ «Борисоглебск-2В» ,,,Borisoglebsk-2B.png
32,g53,БПЛА «Тахіон»,БПЛА «Тахіон»,,,Takhion_reconnaissance_UAV.png
33,g321,БМД-4М,БМД-4М,,,50_BMD-4M.jpg
34,g6753,Радари «Ртуть БМ»,Радари «Ртуть БМ»,,,Rtut BM.jpg
35,g151,MRAP КамАЗ-63968 «Тайфун»,MRAP КамАЗ-63968 «Тайфун»,,,"KamAZ-63968_Typhoon.jpg
"
36,g147,MRAP K-53949 «Тайфун-К»,MRAP K-53949 «Тайфун-К»,,,K-53949_Typhoon-K.jpg
37,g143,MRAP K-53949 «Лінза»,MRAP K-53949 «Лінза»,,,K53949Linza.jpg
38,g415,Літаки Су-30,Літаки Су-30,,,Su-30SM_multirole_aircraft.jpg
39,g411,Літаки Су-34,Літаки Су-34,,,Su-34_strike_aircraft.jpg
40,g397,САУ «Хоста»,САУ «Хоста»,,,120mm_2S34_Khosta.jpg
41,g393,РСЗВ «Торнадо»,РСЗВ «Торнадо»,,,"
122mm_2B17_Tornado-G.jpg"
42,g389,РСЗВ «Град»,РСЗВ «Град»,,,122mm_BM-21_Grad.jpg
43,g1035,БТР-82,БТР-82,,,"

BTR_82.png

"
44,g1039,ГАЗ Тигр,ГАЗ Тигр,,,"GAZ_Tigr.jpg

"
45,g1049,ГАЗ Тигр-М,ГАЗ Тигр-М,,,"
GAZ_Tigr-M.jpg"
46,g1045,БРЕМ-К,БРЕМ-К,,,"
BREM-K.jpg"
47,g995,Вантажівки,Вантажівки,,,GAZ-3308.jpg
,g999,ГАЗ Тигр,ГАЗ Тигр,,,"GAZ_Tigr.jpg
"
,g1003,ГАЗ Тигр-М,ГАЗ Тигр-М,,,"
GAZ_Tigr-M.jpg"
48,g167,ГАЗ-3344-20 «Алеут»,ГАЗ-3344-20 «Алеут»,,,GAZ-3344-20_Aleut.jpg
49,circle23,Радар Р-330Ж «Житель»,Радар Р-330Ж «Житель»,,,R-330ZH Zhitel.jpg
50,g6778,БПЛА «Елерон»,БПЛА «Елерон»,,,Eleron-3_reconnaissance_UAV.jpg
51,g6768,Інженерні машини РХМ-6 Повозка,Інженерні машини РХМ-6 Повозка,,,RKhM-6_Povozka.jpg
52,circle87,Командні пункти APE-5,Командні пункти APE-5,,,APE-5_command_post.jpg
53,g119,Патрульні катери проєкту 03160,Патрульні катери проєкту 03160,,,Project_03160_Raptor_class_patrol_boat.jpg
54,g79,БПЛА «Орлан»,БПЛА «Орлан»,,,Orlan-10_reconnaissance_UAV.jpg
55,g9,Десантні катери проєкту 11770,Десантні катери проєкту 11771,,,Project_11770_Serna_class_landing_craft.png
,g129,Десантні катери проєкту 11770,Десантні катери проєкту 11771,,,Project_11770_Serna_class_landing_craft.png
56,g293,"ТОВ ""ЦСТ""",ЦСТ,1841015504,"Захаров Олександр
В'ячеславович",ZAHAROV_ALEKSANDR_V.jpg
57,g527,"АТ ""ЦЕНТРАЛЬНИЙ НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ ""БУРЕВІСНИК""",БУРЕВІСНИК,5259075468,"Закамєнних Георгій
Іванович",ZAKAMENNYH_GEORGIJ.jpg 
58,g537,"АТ ""МАШИНОБУДІВНА КОМПАНІЯ ""ВІТЯЗЬ""",ВІТЯЗЬ,0261013879,"Арсланов Ірек
Наїлович",ARSLANOV_IREK.jpg
59,g553,"АТ ""ОМСЬКИЙ ЗАВОД ТРАНСПОРТНОГО МАШИНОБУДУВАННЯ""",ОМСЬКТРАНСМАШ,5505204171,"Лобов Ігор
Едуардович",LOBOV_IGOR.jpg
60,g549,"АТ ""УРАЛЬСЬКИЙ ЗАВОД ТРАНСПОРТНОГО МАШИНОБУДУВАННЯ""",УРАЛТРАНСМАШ,6659190900,"Семизоров Дмитро
Юрійович",SEMIZOROV_DMITRIJ.jpg
61,g445,"АТ ""КАЗАНСЬКИЙ ВЕРТОЛІТНИЙ ЗАВОД""",КАЗАНСЬКИЙ ВЕРТОЛІТНИЙ ЗАВОД,1656002652,"Гінсбург Володимир
Срульевич",GINSBURG_Vladimir.jpg
62,g469,"АТ ""УЛАН-УДЕНСЬКИЙ АВІАЦІЙНИЙ ЗАВОД""",УЛАН-УДЕНСЬКИЙ АВІАЦІЙНИЙ ЗАВОД,0323018510,"Козлов Олексій
Володимирович",KOZLOV_ALEKSEJ.jpg
63,g573,"АТ ""НАЦІОНАЛЬНИЙ ЦЕНТР ВЕРТОЛЬОТОБУДУВАННЯ ІМ. М. Л. МІЛЯ І М. І. КАМОВА""",НАЦІОНАЛЬНИЙ ЦЕНТР ВЕРТОЛЬОТОБУДУВАННЯ ІМ. МІЛЯ І КАМОВА,7718016666,"Короткевич Михайло
Захарович",KOROTKEVICH_Mikhail.jpg
64,g453,"АТ ""АРСЕНІЇВСЬКА АВІАЦІЙНА КОМПАНІЯ ""ПРОГРЕС"" ІМ. М. І. САЗИКІНА""",ПРОГРЕС,2501002394,"Пальцев Денис
Євгенійович",PALCEV_DENIS.jpg 
