index,selector,name,short_name,id_number,director,img
1,g297,"Unmanned Aerial Vehicles ""ZALA""",БПЛА «ZALA»,,,ZALA_421-16Е2_reconnaissance.jpg
2,g531,120-mm mortar,120-мм міномет,,,120mm_2B11_2S12.png
3,g541,"AFV ""Vityaz"" ",ДТ-30 «Вітязь» ,,,Vityaz_DT-30.jpg
4,g557,"Tanks T-80UK, T-80UE-1, Т-80UM2, T-80BVM 
","Танки Т-80УК, Т-80УЕ-1, Т-80УМ2, T-80БВМ 
",,,T-80U.jpg
5,g513,"Self-Propelled Artillery ""Msta-SM2"" 

","САУ «МСТА-СМ2»
",,,"Msta-SM2.jpg

"
6,g517,"Repairing ""Akatsiya"" ",Ремонт САУ «Акація»,,,"

152mm_2S3(M)_Akatsiya.jpg"
7,g463,Mi-28 transport helicopter,Вертольоти Мі-28,,,Mi-28_attack_helicopter.jpg
8,g457,"Ka-52 ""Alligator"" attack helicopter",Вертольоти Ка-52,,,KA_52.jpg
9,g439,Mi-35 attack helicopter,Вертольоти Мі-35,,,Mi-35M_attack_helicopter.jpg
10,g449,Mi-8 transport helicopter,Вертольоти  Мі-8,,,Mi-8.jpg
,g473,Mi-35 attack helicopter,Вертольоти  Мі-8,,,Mi-8.jpg
11,g311,"Command post ""Krasukha-4""",Радар 1РЛ257 «Красуха-4»,,,1RL257_Krasukha-4_(command post).jpg
12,g247,"Carriages for Surface-To-Air Missile Systems  ""Buk-M2""",Шасі до ЗРК «Бук-М2»,,,"Buk_M2.jpg

"
13,g251,"Carriages for Surface-To-Air Missile Systems ""Buk-M3""",Шасі до ЗРК «Бук-М3»,,,"
Buk_M3.jpg"
,g213,"Surface-To-Air Missile Systems ""Buk-M3""",ЗРК  «БУК-М3»,,,"
Buk_M3.jpg"
,g217,"Surface-To-Air Missile Systems ""Buk-M2""","ЗРК  «БУК-М2»

",,,"Buk_M2.jpg

"
14,g199,"Surface-To-Air Missile Systems ""Tor-M2"" ",ЗРК «Тор» ,,,9K332_Tor-M2.jpg
15,g203,"Rockets ""Kalibr""",Ракети «Калібр»,,,kalibr.jpg
16,g231,"Radars ""SNAR-10M1""",Радари «СНАР-10м1»,,,"SNAR-10M1.jpg
"
17,g227,Zoopark-1M counter-battery radar complex,Радари «Зоопарк-1М»,,,"
Zoopark-1M.jpg"
18,g237,"Surface-To-Air Missile Systems ""Buk-M3""",ЗРК  «БУК-М3»,,,"Buk_M3.jpg
"
19,g241,"Surface-To-Air Missile Systems ""Buk-M2""","ЗРК  «БУК-М2»

",,,Buk_M2.jpg
20,g221,"Surface-To-Air Missile Systems ""Tunguska""",ЗРПК «Тунгуска-М1»,,,"
2K22M1_Tunguska.jpg"
21,g71,"Rocket ""Tochka-U""",Точка-У,,,Tochka.jpg
22,g339,"TOS-1A ""Solntsepek""",ТОС-1А (Сонцепьок),,,220mm_TOS-1A.jpg
23,g505,"Rockets ""Iskander"" ",Ракети «Іскандер»,,,iskander.jpg
24,g367,"ATGM ""Kornet-T""
","ПТРК «Корнет»
",,,"
Kornet.jpg"
25,g363,"Surface-To-Air Missile Systems ""Pantsir-S1""",ЗРК «Панцир-С1»,,,"Pantsir_S1.jpg
"
26,g487,"SAM ""Strela-10""",ЗРК «Стрела-10»,,,9K35_Strela-10.jpg
27,g375,IFV BMP-3,БМП-4,,,"
BMP-3.jpg"
28,g379,"APC ""BTR-MDM 'Rakushka""",БТР-МДМ «Ракушка»,,,BTR-MDM__Rakushka_.jpg
29,g163,"Trucks, Vehicles and Jeeps",Вантажівки та джипи,,,"Ural.jpg

"
30,g353,R-149MA1 command and staff vehicle ,"КШМ Р-149МА1

",,,R-149MA1_command_and_staff_vehicle.png
31,g357,R-330BMV Borisoglebsk-2B ,Комплекс РЕБ «Борисоглебск-2В» ,,,Borisoglebsk-2B.png
32,g53,Takhion reconnaissance UAV,БПЛА «Тахіон»,,,Takhion_reconnaissance_UAV.png
33,g321,Infantry Fighting Vehicles BMD-4M,БМД-4М,,,50_BMD-4M.jpg
34,g39,"Jammer And Deception System ""Rtut-BM""",Радари «Ртуть БМ»,,,Rtut BM.jpg
35,g151,MRAP KamAZ-63968 «Typhoon»,MRAP КамАЗ-63968 «Тайфун»,,,"KamAZ-63968_Typhoon.jpg
"
36,g147,"MRAP K-53949 ""Typhoon-K""",MRAP K-53949 «Тайфун-К»,,,K-53949_Typhoon-K.jpg
37,g143,"MRAP K-53949 ""Linza"" ",MRAP K-53949 «Лінза»,,,K53949Linza.jpg
38,g415,Aircrafts Su-30SM,Літаки Су-30,,,Su-30SM_multirole_aircraft.jpg
39,g411,Aircrafts Su-34 ,Літаки Су-34,,,Su-34_strike_aircraft.jpg
40,g397,"Self-Propelled Artillery ""Khosta""",САУ «Хоста»,,,120mm_2S34_Khosta.jpg
41,g393,"Multiple Rocket Launchers ""Tornado""",РСЗВ «Торнадо»,,,"
122mm_2B17_Tornado-G.jpg"
42,g389,"Multiple Rocket Launchers ""Grad""",РСЗВ «Град»,,,122mm_BM-21_Grad.jpg
43,g1035,BTR-82A,БТР-82,,,"

BTR_82.png

"
44,g1039,Armoured Fighting Vehicles GAZ Tigr,ГАЗ Тигр,,,"GAZ_Tigr.jpg

"
45,g1049,Armoured Fighting Vehicles GAZ Tigr-M,ГАЗ Тигр-М,,,"
GAZ_Tigr-M.jpg"
46,g1045,BREM-K,БРЕМ-К,,,"
BREM-K.jpg"
47,g995,Trucks,Вантажівки,,,GAZ-3308.jpg
,g999,Armoured Fighting Vehicles GAZ Tigr,ГАЗ Тигр,,,"GAZ_Tigr.jpg
"
,g1003,Armoured Fighting Vehicles GAZ Tigr-M,ГАЗ Тигр-М,,,"
GAZ_Tigr-M.jpg"
48,g167,"Armoured Fighting Vehicles GAZ-3344-20 ""Aleut""",ГАЗ-3344-20 «Алеут»,,,GAZ-3344-20_Aleut.jpg
49,circle23,Jammer And Deception System R-330ZH Zhitel,Радар Р-330Ж «Житель»,,,R-330ZH Zhitel.jpg
50,g6778,Eleron-3 reconnaissance UAV,БПЛА «Елерон»,,,Eleron-3_reconnaissance_UAV.jpg
51,g6768,RKhM-6 Povozka ,Інженерні машини РХМ-6 Повозка,,,RKhM-6_Povozka.jpg
52,circle87,APE-5 command post,Командні пункти APE-5,,,APE-5_command_post.jpg
53,g119,Project 03160 Raptor class patrol boat,Патрульні катери проєкту 03160,,,Project_03160_Raptor_class_patrol_boat.jpg
54,g79,Orlan-10 reconnaissance UAV,БПЛА «Орлан»,,,Orlan-10_reconnaissance_UAV.jpg
55,g9,Project 11770 Serna class landing craft,Десантні катери проєкту 11771,,,Project_11770_Serna_class_landing_craft.png
,g129,Project 11770  Serna class landing craft,Десантні катери проєкту 11771,,,Project_11770_Serna_class_landing_craft.png
